Player Name,Age,Season,Price,Player_Category
Rohit Sharma,33,2020,150000000,Indian
Hardik Pandya,26,2020,110000000,Indian
Krunal Pandya,29,2020,88000000,Indian
Nathan Coulter-Nile,32,2020,80000000,Others
Jasprit Bumrah,26,2020,70000000,Indian
Ishan Kishan,22,2020,62000000,Indian
Kieron Pollard,33,2020,54000000,Others
Suryakumar Yadav,30,2020,32000000,Indian
Quinton de Kock,27,2020,28000000,Others
Trent Boult,31,2020,22000000,Others
Chris Lynn,30,2020,20000000,Others
Sherfane Rutherford,22,2020,20000000,Others
Rahul Chahar,21,2020,19000000,Indian
Mitchell McClenaghan,34,2020,10000000,Others
James Pattinson,30,2020,10000000,Others
Anmolpreet Singh,22,2020,8000000,Indian
Dhawal Kulkarni,31,2020,7500000,Indian
Saurabh Tiwary,30,2020,5000000,Indian
Jayant Yadav,30,2020,5000000,Indian
Digvijay Deshmukh,22,2020,2000000,Indian
Prince Balwant Rai Singh,21,2020,2000000,Indian
Mohsin Khan,22,2020,2000000,Indian
Aditya Tare,32,2020,2000000,Indian
Anukul Roy,21,2020,2000000,Indian
Rohit Sharma,NA,2019,150000000,NA
Hardik Pandya,NA,2019,110000000,NA
Krunal Pandya,NA,2019,88000000,NA
Evin Lewis,NA,2019,38000000,NA
Siddhesh Lad,NA,2019,2000000,NA
Anmolpreet Singh,NA,2019,8000000,NA
Anukul Roy,NA,2019,2000000,NA
Yuvraj Singh,NA,2019,10000000,NA
Jayant Yadav,NA,2019,5000000,NA
Ben Cutting,NA,2019,22000000,NA
Aditya Tare,NA,2019,2000000,NA
Rahul Chahar,NA,2019,19000000,NA
Rasikh Salam,NA,2019,2000000,NA
Jason Behrendorff,NA,2019,15000000,NA
Alzarri Joseph,NA,2019,7500000,NA
Barinder Sran,NA,2019,34000000,NA
Mayank Markande,NA,2019,2000000,NA
Mitchell McClenaghan,NA,2019,10000000,NA
Lasith Malinga,NA,2019,20000000,NA
Adam Milne,NA,2019,7500000,NA
Pankaj Jaiswal,NA,2019,2000000,NA
Beuran Hendricks,NA,2019,7500000,NA
Jasprit Bumrah,26,2019,70000000,Indian
Ishan Kishan,22,2019,62000000,Indian
Kieron Pollard,33,2019,54000000,Others
Suryakumar Yadav,30,2019,32000000,Indian
Quinton de Kock,27,2019,28000000,Others
Evin Lewis,28,2018,38000000,Others
J P Duminy,NA,2018,10000000,NA
Saurabh Tiwary,NA,2018,8000000,NA
Sharad Lumba,NA,2018,2000000,NA
Akila Dananjaya,NA,2018,5000000,NA
Ben Cutting,NA,2018,22000000,NA
Tajinder Dhillon,NA,2018,5500000,NA
Pradeep Sangwan,NA,2018,15000000,NA
Mustafizur Rahman,NA,2018,22000000,NA
Pat Cummins,NA,2018,54000000,NA
Mohsin Khan,NA,2018,2000000,NA
M D Nidheesh,NA,2018,2000000,NA
Rohit Sharma,33,2018,150000000,Indian
Hardik Pandya,26,2018,110000000,Indian
Krunal Pandya,29,2018,88000000,Indian
Siddhesh Lad,NA,2018,2000000,NA
Anukul Roy,NA,2018,2000000,NA
Suryakumar Yadav,30,2018,32000000,Indian
Kieron Pollard,33,2018,54000000,Others
Jasprit Bumrah,26,2018,70000000,Indian
Ishan Kishan,22,2018,62000000,Indian
Aditya Tare,NA,2018,2000000,NA
Mayank Markande,NA,2018,2000000,NA
Mitchell McClenaghan,NA,2018,10000000,NA
Rahul Chahar,NA,2018,19000000,NA
Adam Milne,NA,2018,7500000,NA
Jason Behrendorff,NA,2018,15000000,NA
Siddhesh Lad,NA,2017,1000000,NA
Ambati Rayudu,NA,2017,40000000,NA
Saurabh Tiwary,NA,2017,3000000,NA
Nitish Rana,NA,2017,1000000,NA
Rohit Sharma,NA,2017,125000000,NA
Lendl Simmons,NA,2017,55000000,NA
Hardik Pandya,NA,2017,1000000,NA
Karn Sharma,NA,2017,32000000,NA
Shreyas Gopal,NA,2017,1000000,NA
Krunal Pandya,NA,2017,20000000,NA
Kieron Pollard,NA,2017,97000000,NA
Deepak Punia,NA,2017,1000000,NA
Asela Gunaratne,NA,2017,3000000,NA
Jos Buttler,NA,2017,38000000,NA
Parthiv Patel,NA,2017,14000000,NA
Jitesh Sharma,NA,2017,1000000,NA
Nicholas Pooran,NA,2017,3000000,NA
Harbhajan Singh,NA,2017,55000000,NA
Jagadeesha Suchith,NA,2017,1000000,NA
Vinay Kumar,NA,2017,29900000,NA
Mitchell Johnson,NA,2017,20000000,NA
Tim Southee,NA,2017,25000000,NA
Mitchell McClenaghan,NA,2017,3000000,NA
Jasprit Bumrah,NA,2017,12000000,NA
Lasith Malinga,NA,2017,81000000,NA
Krinappa Gowtham,NA,2017,20000000,NA
Kulwant Khejroliya,NA,2017,1000000,NA
Aaron Finch,NA,2016,32000000,NA
Siddhesh Lad,NA,2016,1000000,NA
Ambati Rayudu,NA,2016,40000000,NA
Unmukt Chand,NA,2016,6500000,NA
Rohit Sharma,NA,2016,125000000,NA
Lendl Simmons,NA,2016,9000000,NA
Aiden Blizzard,NA,2016,3000000,NA
Nitish Rana,NA,2016,1000000,NA
Shreyas Gopal,NA,2016,1000000,NA
Kieron Pollard,NA,2016,75000000,NA
Corey Anderson,NA,2016,45000000,NA
Hardik Pandya,NA,2016,1000000,NA
Aditya Tare,NA,2016,16000000,NA
Parthiv Patel,NA,2016,14000000,NA
Harbhajan Singh,NA,2016,55000000,NA
Josh Hazlewood,NA,2016,5000000,NA
Jasprit Bumrah,NA,2016,12000000,NA
Jagadeesha Suchith,NA,2016,1000000,NA
Vinay Kumar,NA,2016,29900000,NA
Pragyan Ojha,NA,2016,5000000,NA
Mitchell McClenaghan,NA,2016,3000000,NA
Marchant de Lange,NA,2016,3000000,NA
Lasith Malinga,NA,2016,55000000,NA
Abhimanyu Mithun,NA,2016,3000000,NA
Akshay Wakhare,NA,2016,1000000,NA
Ben Hilfenhaus ,NA,2016,5000000,NA
Colin Munro,NA,2015,5000000,NA
Alex Hales,NA,2015,10000000,NA
Aaron Finch,NA,2015,32000000,NA
Siddhesh Lad,NA,2015,1000000,NA
Ambati Rayudu,NA,2015,40000000,NA
Unmukt Chand,NA,2015,6500000,NA
Rohit Sharma,NA,2015,125000000,NA
Lendl Simmons,NA,2015,9000000,NA
Aiden Blizzard,NA,2015,3000000,NA
Nitish Rana,NA,2015,1000000,NA
